일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/04/12","38550","-300","-0.77","38900","39100","38250","28581","1104952850","599803998900","15559118"
"2021/04/09","38850","-350","-0.89","39600","39950","38700","45720","1789188000","604471734300","15559118"
"2021/04/08","39200","300","0.77","39500","40100","38750","88444","3471245600","609917425600","15559118"
"2021/04/07","38900","-300","-0.77","39050","40150","38500","60612","2371351150","605249690200","15559118"
"2021/04/06","39200","-700","-1.75","40000","40600","38600","66943","2644841050","609917425600","15559118"
"2021/04/05","39900","-500","-1.24","40100","40800","39300","49361","1977470500","620808808200","15559118"
"2021/04/02","40400","-450","-1.10","41200","41350","40100","42902","1741449450","628588367200","15559118"
"2021/04/01","40850","-1350","-3.20","42000","42350","40600","85681","3535025450","635589970300","15559118"
"2021/03/31","42200","700","1.69","41700","42650","41000","129353","5458996200","656594779600","15559118"
"2021/03/30","41500","0","0.00","41450","42100","39650","130296","5347792450","645703397000","15559118"
"2021/03/29","41500","1600","4.01","40400","42350","40400","169076","7034798800","645703397000","15559118"
"2021/03/26","39900","2000","5.28","37650","40300","37600","222098","8747197350","620808808200","15559118"
"2021/03/25","37900","350","0.93","37050","38200","37000","80453","3016793100","589690572200","15559118"
"2021/03/24","37550","-50","-0.13","37450","37800","36450","106973","3965858500","584244880900","15559118"
"2021/03/23","37600","-300","-0.79","37800","38150","36550","124199","4637635600","585022836800","15559118"
"2021/03/22","37900","-1000","-2.57","38700","38950","37900","80428","3080277350","589690572200","15559118"
"2021/03/19","38900","-200","-0.51","38950","39200","38600","41643","1616761400","605249690200","15559118"
"2021/03/18","39100","-50","-0.13","39200","39400","38600","47835","1864464500","608361513800","15559118"
"2021/03/17","39150","500","1.29","38600","39850","38250","87978","3436389150","609139469700","15559118"
"2021/03/16","38650","-750","-1.90","39550","39650","38400","99180","3849418600","601359910700","15559118"
"2021/03/15","39400","2050","5.49","37000","39700","36550","133270","5135428750","613029249200","15559118"
"2021/03/12","37350","-850","-2.23","38650","38700","37050","141767","5327467650","581133057300","15559118"
"2021/03/11","38200","-300","-0.78","38550","39100","37500","68367","2618676650","594358307600","15559118"
"2021/03/10","38500","-200","-0.52","39100","40500","38450","118289","4651202200","599026043000","15559118"
"2021/03/09","38700","-300","-0.77","38950","39000","36800","144934","5486935550","602137866600","15559118"
"2021/03/08","39000","-1100","-2.74","40100","40850","38600","103547","4095596150","606805602000","15559118"
"2021/03/05","40100","-300","-0.74","39750","40300","38800","87834","3468330700","623920631800","15559118"
"2021/03/04","40400","400","1.00","39000","41350","38250","142340","5681157100","628588367200","15559118"
"2021/03/03","40000","-2100","-4.99","42000","42100","39500","164512","6607432300","622364720000","15559118"
"2021/03/02","42100","2100","5.25","40500","43450","40500","256146","10791868850","655038867800","15559118"
"2021/02/26","40000","600","1.52","38450","40350","38050","158874","6257022900","622364720000","15559118"
"2021/02/25","39400","350","0.90","39650","40300","38450","158874","6227617900","613029249200","15559118"
"2021/02/24","39050","-3350","-7.90","41500","42000","38250","434451","17250792950","607583557900","15559118"
"2021/02/23","42400","-2250","-5.04","44650","44650","41850","450943","19274444450","659706603200","15559118"
"2021/02/22","44650","3150","7.59","43000","47000","42150","513114","22998283350","694714618700","15559118"
"2021/02/19","41500","100","0.24","40950","43000","39600","250284","10249137050","645703397000","15559118"
"2021/02/18","41400","2500","6.43","38700","42000","38500","335835","13627053800","644147485200","15559118"
"2021/02/17","38900","-200","-0.51","38750","39700","37950","188792","7349189650","605249690200","15559118"
"2021/02/16","39100","100","0.26","38900","39200","37700","166299","6391983300","608361513800","15559118"
"2021/02/15","39000","3900","11.11","37450","39000","36100","419401","15940637300","606805602000","15559118"
"2021/02/10","35100","1200","3.54","33800","35150","32700","355874","12313098150","546125041800","15559118"
"2021/02/09","33900","500","1.50","34200","34850","32700","396718","13546154250","527454100200","15559118"
"2021/02/08","33400","3050","10.05","29900","34350","29800","626885","20480527900","519674541200","15559118"
"2021/02/05","30350","0","0.00","30500","30800","29800","235098","7121069550","472219231300","15559118"
"2021/02/04","30350","850","2.88","29600","30800","29550","332984","10068329650","472219231300","15559118"
"2021/02/03","29500","1100","3.87","28500","30000","28500","589361","17272625500","458993981000","15559118"
"2021/02/02","28400","3100","12.25","27000","29950","26300","987934","27908665000","441878951200","15559118"
"2021/02/01","25300","-50","-0.20","25000","25850","24800","96086","2472870650","393645685400","15559118"
"2021/01/29","25350","-800","-3.06","26400","26400","25100","147189","3765816400","394423641300","15559118"
"2021/01/28","26150","150","0.58","25600","26800","25550","145459","3807606050","406870935700","15559118"
"2021/01/27","26000","-250","-0.95","26250","26400","25750","85456","2218530450","404537068000","15559118"
"2021/01/26","26250","-150","-0.57","26400","26400","25900","90241","2362145150","408426847500","15559118"
"2021/01/25","26400","-250","-0.94","26800","26900","26250","125598","3326024600","410760715200","15559118"
"2021/01/22","26650","-50","-0.19","26800","26950","26400","90720","2417916750","414650494700","15559118"
"2021/01/21","26700","-50","-0.19","26750","27150","26400","132229","3521442200","415428450600","15559118"
"2021/01/20","26750","250","0.94","26500","26900","26100","120645","3194315050","416206406500","15559118"
"2021/01/19","26500","-400","-1.49","27200","27200","26150","157310","4165628950","412316627000","15559118"
"2021/01/18","26900","-100","-0.37","27400","27900","26550","317323","8651822050","418540274200","15559118"
"2021/01/15","27000","950","3.65","26050","27850","25450","509775","13667964750","420096186000","15559118"
"2021/01/14","26050","350","1.36","25500","26400","25350","107491","2795646300","405315023900","15559118"
"2021/01/13","25700","-50","-0.19","25800","25950","25400","78325","2006573150","399869332600","15559118"
"2021/01/12","25750","-50","-0.19","25800","25850","25200","71873","1834091250","400647288500","15559118"
"2021/01/11","25800","0","0.00","26000","26850","25100","327415","8469296450","401425244400","15559118"
"2021/01/08","25800","0","0.00","25700","26250","25150","161421","4134403200","401425244400","15559118"
"2021/01/07","25800","-600","-2.27","26550","26550","25700","161199","4188409800","401425244400","15559118"
"2021/01/06","26400","-350","-1.31","26950","27050","26000","128979","3417209500","410760715200","15559118"
"2021/01/05","26750","-250","-0.93","26950","27050","26150","129903","3445744650","416206406500","15559118"
"2021/01/04","27000","250","0.93","26950","27500","26850","145127","3933138900","420096186000","15559118"
"2020/12/30","26750","0","0.00","26800","27600","26400","170291","4576316850","416206406500","15559118"
"2020/12/29","26750","2150","8.74","24950","27000","24900","222951","5876868950","416206406500","15559118"
"2020/12/28","24600","-200","-0.81","25000","25050","24400","123485","3036641100","382754302800","15559118"
"2020/12/24","24800","0","0.00","24700","25100","24450","110866","2752326950","385866126400","15559118"
"2020/12/23","24800","-200","-0.80","25150","25200","24200","127540","3140429700","385866126400","15559118"
"2020/12/22","25000","-650","-2.53","25400","25700","24750","107087","2685997150","388977950000","15559118"
"2020/12/21","25650","-150","-0.58","25950","26000","25000","134070","3386432300","399091376700","15559118"
"2020/12/18","25800","-400","-1.53","25950","26450","25550","122320","3161401800","401425244400","15559118"
"2020/12/17","26200","-600","-2.24","27000","27000","25900","162111","4265255200","407648891600","15559118"
"2020/12/16","26800","0","0.00","27050","27250","26750","100913","2719262750","416984362400","15559118"
"2020/12/15","26800","150","0.56","26950","27700","26650","212055","5784932750","416984362400","15559118"
"2020/12/14","26650","-350","-1.30","27000","27200","26650","85586","2288063800","414650494700","15559118"
